,Unnamed: 0.1,Unnamed: 0,index,Datetime,Longitude,Latitude,SPEED,delta_time,position1,position2,road_one,road_two,road_two_type,road_one_type
227639,227639,227639,0,2022-12-08 08:04:44,117.19983605873324,39.17358893782162,0.0,1.0,1.0,1.0,星光路,星光路,secondary,secondary
227640,227640,227640,1,2022-12-08 08:04:45,117.19983605873324,39.17358893782162,0.0,1.0,1.0,1.0,星光路,星光路,secondary,secondary
227641,227641,227641,2,2022-12-08 08:04:46,117.19983605873324,39.17358893782162,0.0,1.0,1.0,1.0,星光路,星光路,secondary,secondary
227642,227642,227642,3,2022-12-08 08:04:47,117.19982845354312,39.17358513049951,0.0,1.0,1.0,1.0,星光路,星光路,secondary,secondary
227643,227643,227643,4,2022-12-08 08:04:48,117.1998208478438,39.17358511874715,0.0,1.0,1.0,1.0,星光路,星光路,secondary,secondary
227644,227644,227644,5,2022-12-08 08:04:49,117.1998360582259,39.17359273339247,6.156,1.0,1.0,1.0,星光路,星光路,secondary,secondary
227645,227645,227645,6,2022-12-08 08:04:50,117.1998591443664,39.173612018025885,9.468,1.0,1.0,1.0,星光路,星光路,secondary,secondary
227646,227646,227646,7,2022-12-08 08:04:51,117.19988956559403,39.17362345171927,9.468,1.0,1.0,1.0,星光路,星光路,secondary,secondary
227647,227647,227647,8,2022-12-08 08:04:52,117.19992025690208,39.173646272527456,9.576,1.0,1.0,1.0,星光路,星光路,secondary,secondary
227648,227648,227648,9,2022-12-08 08:04:53,117.19993546669326,39.1736579538276,7.8120003,1.0,1.0,1.0,星光路,星光路,secondary,secondary
227649,227649,227649,10,2022-12-08 08:04:54,117.1999430708434,39.17366935227671,5.3999996,1.0,1.0,1.0,星光路,星光路,secondary,secondary
227650,227650,227650,11,2022-12-08 08:04:55,117.1999506765134,39.17366936401122,5.148,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227651,227651,227651,12,2022-12-08 08:04:56,117.19995828065996,39.17368076245823,6.4799995,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227652,227652,227652,13,2022-12-08 08:04:57,117.19998136779896,39.17369191367211,7.3799996,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227653,227653,227653,14,2022-12-08 08:04:58,117.20001151778644,39.173699551304615,10.044,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227654,227654,227654,15,2022-12-08 08:04:59,117.20004220741956,39.17373402986888,14.1119995,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227655,227655,227655,16,2022-12-08 08:05:00,117.20008023309684,39.173753066314354,14.1119995,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227656,227656,227656,17,2022-12-08 08:05:01,117.20010332011108,39.173764488586535,11.664,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227657,227657,227657,18,2022-12-08 08:05:02,117.20014134618604,39.173780000527664,13.716,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227658,227658,227658,19,2022-12-08 08:05:03,117.20017964033158,39.173821810748784,16.272,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227659,227659,227659,20,2022-12-08 08:05:04,117.20023287451583,39.1738598483392,19.08,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227660,227660,227660,21,2022-12-08 08:05:05,117.20027877515668,39.17389407903572,15.299999,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227661,227661,227661,22,2022-12-08 08:05:06,117.20030159036234,39.173905771914114,11.5199995,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227662,227662,227662,23,2022-12-08 08:05:07,117.20032440406722,39.17392858038672,11.5199995,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227663,227663,227663,24,2022-12-08 08:05:08,117.20033988583612,39.17393619530199,7.7400002,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227664,227664,227664,25,2022-12-08 08:05:09,117.20035509546304,39.17394760536799,5.796,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227665,227665,227665,26,2022-12-08 08:05:10,117.20035509495622,39.173951400940346,3.96,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227666,227666,227666,27,2022-12-08 08:05:11,117.20036269951358,39.17395900375788,2.8079998,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227667,227667,227667,28,2022-12-08 08:05:12,117.20036270002036,39.17395520818548,0.0,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227668,227668,227668,29,2022-12-08 08:05:13,117.20036269951358,39.17395900375788,0.0,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227669,227669,227669,30,2022-12-08 08:05:14,117.20037030508269,39.17395901542946,0.9,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227670,227670,227670,31,2022-12-08 08:05:15,117.20040072886124,39.17394767538684,3.672,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227671,227671,227671,32,2022-12-08 08:05:16,117.20039312072927,39.173966912694375,4.32,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227672,227672,227672,33,2022-12-08 08:05:17,117.20041593639554,39.173974538836525,5.796,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227673,227673,227673,34,2022-12-08 08:05:18,117.2004542358214,39.173974326445766,7.668,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227674,227674,227674,35,2022-12-08 08:05:19,117.20046184035492,39.17398192924831,6.4799995,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227675,227675,227675,36,2022-12-08 08:05:20,117.20046944285968,39.17400471434011,6.804,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227676,227676,227676,37,2022-12-08 08:05:21,117.20046943978316,39.17402775888837,8.459999,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227677,227677,227677,38,2022-12-08 08:05:22,117.2005153421086,39.1740468070815,15.228,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227678,227678,227678,39,2022-12-08 08:05:23,117.20057618226215,39.174077264815736,21.96,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227679,227679,227679,40,2022-12-08 08:05:24,117.20063729287423,39.17411558514896,25.056,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227680,227680,227680,41,2022-12-08 08:05:25,117.20069840391076,39.17414983872123,23.039999,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227681,227681,227681,42,2022-12-08 08:05:26,117.20075163772955,39.17418408019167,19.872,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227682,227682,227682,43,2022-12-08 08:05:27,117.20080487243528,39.17421100156986,19.152,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227683,227683,227683,44,2022-12-08 08:05:28,117.20085077275282,39.17424143616956,18.252,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227684,227684,227684,45,2022-12-08 08:05:29,117.2008814641797,39.17425639413938,12.672,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227685,227685,227685,46,2022-12-08 08:05:30,117.20088906806812,39.174268063563176,6.696,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227686,227686,227686,47,2022-12-08 08:05:31,117.20089667300353,39.17427187072603,3.132,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227687,227687,227687,48,2022-12-08 08:05:32,117.20089667350985,39.17426807515231,1.152,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227688,227688,227688,49,2022-12-08 08:05:33,117.20089667300353,39.17427187072603,1.224,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227689,227689,227689,50,2022-12-08 08:05:34,117.20088906553632,39.17428704143173,2.8799999,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227690,227690,227690,51,2022-12-08 08:05:35,117.20089667047176,39.174290848594666,3.276,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227691,227691,227691,52,2022-12-08 08:05:36,117.20090427439273,39.17430224690397,5.7599998,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227692,227692,227692,53,2022-12-08 08:05:37,117.20092708968888,39.174309872808166,7.848,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227693,227693,227693,54,2022-12-08 08:05:38,117.20095750988916,39.17432130585468,9.468,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227694,227694,227694,55,2022-12-08 08:05:39,117.20097271867638,39.1743367824179,10.115999,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227695,227695,227695,56,2022-12-08 08:05:40,117.20100341146691,39.174340624700605,7.3079996,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227696,227696,227696,57,2022-12-08 08:05:41,117.20101862128055,39.17434823898882,7.3799996,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227697,227697,227697,58,2022-12-08 08:05:42,117.20103383058066,39.17435964884624,3.888,1.0,1.0,1.0,志成路,志成路,trunk,trunk
227698,227698,227698,59,2022-12-08 08:05:43,117.20104143497484,39.17436725156018,3.4559999,1.0,1.0,1.0,志成路,志成路,trunk,trunk
