,Unnamed: 0.1,Unnamed: 0,index,Datetime,Longitude,Latitude,SPEED,delta_time,position1,position2,road_one,road_two,road_two_type,road_one_type
24437,24437,24437,0,2022-12-23 09:03:29,117.3559552377906,39.13054340771762,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24438,24438,24438,1,2022-12-23 09:03:30,117.3559476557055,39.13056646348707,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24439,24439,24439,2,2022-12-23 09:03:31,117.35593222133994,39.13060850888261,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24440,24440,24440,3,2022-12-23 09:03:32,117.35591705494836,39.130673326665566,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24441,24441,24441,4,2022-12-23 09:03:33,117.35588673040536,39.13073437273307,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24442,24442,24442,5,2022-12-23 09:03:34,117.35587129520464,39.13078373798576,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24443,24443,24443,6,2022-12-23 09:03:35,117.35585585952856,39.130837169817816,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24444,24444,24444,7,2022-12-23 09:03:36,117.35584069452032,39.13089087233737,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24445,24445,24445,8,2022-12-23 09:03:37,117.35583311247372,39.13091392813209,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24446,24446,24446,9,2022-12-23 09:03:38,117.35582553091542,39.13093291735595,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24447,24447,24447,10,2022-12-23 09:03:39,117.35582553046206,39.130936712823626,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24448,24448,24448,11,2022-12-23 09:03:40,117.35582553000869,39.1309405082913,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24449,24449,24449,12,2022-12-23 09:03:41,117.35582553000869,39.1309405082913,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24450,24450,24450,13,2022-12-23 09:03:42,117.35582552955536,39.13094430375899,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24451,24451,24451,14,2022-12-23 09:03:43,117.35582552955536,39.13094430375899,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24452,24452,24452,15,2022-12-23 09:03:44,117.35581767960964,39.13094404496584,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24453,24453,24453,16,2022-12-23 09:03:45,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24454,24454,24454,17,2022-12-23 09:03:46,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24455,24455,24455,18,2022-12-23 09:03:47,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24456,24456,24456,19,2022-12-23 09:03:48,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24457,24457,24457,20,2022-12-23 09:03:49,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24458,24458,24458,21,2022-12-23 09:03:50,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24459,24459,24459,22,2022-12-23 09:03:51,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24460,24460,24460,23,2022-12-23 09:03:52,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24461,24461,24461,24,2022-12-23 09:03:53,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24462,24462,24462,25,2022-12-23 09:03:54,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24463,24463,24463,26,2022-12-23 09:03:55,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24464,24464,24464,27,2022-12-23 09:03:56,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24465,24465,24465,28,2022-12-23 09:03:57,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24466,24466,24466,29,2022-12-23 09:03:58,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24467,24467,24467,30,2022-12-23 09:03:59,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24468,24468,24468,31,2022-12-23 09:04:00,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24469,24469,24469,32,2022-12-23 09:04:01,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24470,24470,24470,33,2022-12-23 09:04:02,117.35581767915636,39.13094784043352,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24471,24471,24471,34,2022-12-23 09:04:03,117.35582552910202,39.13094809922667,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24472,24472,24472,35,2022-12-23 09:04:04,117.35582552910202,39.13094809922667,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24473,24473,24473,36,2022-12-23 09:04:05,117.35582552910202,39.13094809922667,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24474,24474,24474,37,2022-12-23 09:04:06,117.35582552910202,39.13094809922667,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24475,24475,24475,38,2022-12-23 09:04:07,117.35582552910202,39.13094809922667,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24476,24476,24476,39,2022-12-23 09:04:08,117.35582552910202,39.13094809922667,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24477,24477,24477,40,2022-12-23 09:04:09,117.35582552910202,39.13094809922667,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24478,24478,24478,41,2022-12-23 09:04:10,117.35582552910202,39.13094809922667,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24479,24479,24479,42,2022-12-23 09:04:11,117.35582552910202,39.13094809922667,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24480,24480,24480,43,2022-12-23 09:04:12,117.35582552910202,39.13094809922667,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24481,24481,24481,44,2022-12-23 09:04:13,117.35582552910202,39.13094809922667,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24482,24482,24482,45,2022-12-23 09:04:14,117.35582552910202,39.13094809922667,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24483,24483,24483,46,2022-12-23 09:04:15,117.35582552864868,39.13095189469437,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24484,24484,24484,47,2022-12-23 09:04:16,117.35582552864868,39.13095189469437,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24485,24485,24485,48,2022-12-23 09:04:17,117.35582552864868,39.13095189469437,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24486,24486,24486,49,2022-12-23 09:04:18,117.35582552864868,39.13095189469437,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24487,24487,24487,50,2022-12-23 09:04:19,117.35582552819535,39.13095569016207,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24488,24488,24488,51,2022-12-23 09:04:20,117.35582552819535,39.13095569016207,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24489,24489,24489,52,2022-12-23 09:04:21,117.35582553046206,39.130936712823626,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
24490,24490,24490,53,2022-12-23 09:04:22,117.35582553046206,39.130936712823626,0.0,1.0,1.0,1.0,机场大道,机场大道,primary,primary
