FID,osm_id,name,ref,type,oneway,bridge,maxspeed
0,24634909.000000000000000,梅江南道, ,unclassified,0,0,0
1,24634912.000000000000000,气象台路, ,secondary,1,0,0
2,24635066.000000000000000,第三大街, ,tertiary,0,0,0
3,24635068.000000000000000, , ,secondary_link,1,0,0
4,24635069.000000000000000,新港四号路,G103,trunk,1,0,0
5,24636627.000000000000000,马场道, ,tertiary,1,0,0
6,24636637.000000000000000,机场大道, ,primary,1,0,0
7,24636640.000000000000000,海泰南北大街, ,secondary,1,0,0
8,24850058.000000000000000, , ,secondary,1,0,0
9,24850059.000000000000000,十一经路, ,primary,1,0,0
10,24850456.000000000000000,华捷道, ,tertiary,1,0,0
11,24850457.000000000000000, , ,residential,0,0,0
12,24850458.000000000000000,新泰路辅路, ,tertiary,1,0,0
13,24866866.000000000000000,贵阳路, ,tertiary,1,0,0
14,24868277.000000000000000,东二经路, ,residential,1,0,0
15,24868301.000000000000000, , ,residential,0,0,0
16,24868412.000000000000000,和平路, ,secondary,1,0,0
17,24908197.000000000000000,国家庄街, ,tertiary,0,0,0
18,24910281.000000000000000,南海路, ,primary,1,0,0
19,25093040.000000000000000,泰达大街, ,primary,1,0,0
20,25093042.000000000000000,京津塘高速,S40;AH3,motorway,1,1,0
21,25093044.000000000000000, , ,primary,1,0,0
22,25093045.000000000000000, , ,primary,1,0,0
23,25093046.000000000000000, , ,primary,1,0,0
24,25093048.000000000000000, , ,primary,1,0,0
25,25093049.000000000000000, , ,primary,1,0,0
26,25093050.000000000000000,河北路, ,primary,1,1,0
27,25093051.000000000000000,河北路, ,primary,1,0,0
28,25093052.000000000000000, , ,primary,1,0,0
29,25093053.000000000000000, , ,primary,1,0,0
30,25093054.000000000000000, , ,primary,1,0,0
31,25093056.000000000000000,上海道, ,secondary,1,0,0
32,25167393.000000000000000,曲阜道, ,primary,1,0,0
33,25167395.000000000000000,南京路, ,primary,1,0,0
34,25167398.000000000000000,西马路, ,primary,1,0,0
35,25167400.000000000000000,北马路, ,primary,1,0,0
36,25167401.000000000000000,通北路, ,primary,1,0,0
37,25167403.000000000000000,狮子林桥, ,primary,1,1,0
38,25168257.000000000000000,成都道, ,tertiary,1,0,0
39,25168261.000000000000000,气象台路, ,secondary,1,0,0
40,25201789.000000000000000,律纬路, ,secondary,1,0,0
41,25203897.000000000000000,荣安大街, ,residential,1,0,0
42,25203900.000000000000000,山西路, ,residential,1,0,0
43,25203905.000000000000000,南京路, ,secondary,1,0,0
44,25204755.000000000000000,红旗南路, ,primary,1,1,0
45,25204758.000000000000000,复康路, ,primary,1,1,0
46,25204759.000000000000000,吴家窑大街, ,primary,1,0,0
47,25204760.000000000000000,围堤道, ,primary,1,0,0
48,25205090.000000000000000,津汉公路,S103,primary,1,1,0
49,25285915.000000000000000, , ,primary,1,0,0
50,25285917.000000000000000,华昌道, ,primary,1,0,0
51,25285919.000000000000000,新浦路, ,residential,0,0,0
52,25285921.000000000000000, , ,tertiary,1,0,0
53,25285924.000000000000000,华兴道, ,secondary,1,0,0
54,28432090.000000000000000,六经路, ,tertiary,0,0,0
55,28432092.000000000000000,七纬路, ,tertiary,1,0,0
56,28432099.000000000000000,海河东路, ,secondary,1,0,0
57,28432100.000000000000000,新兆路, ,tertiary,1,0,0
58,28668921.000000000000000,七纬路, ,tertiary,1,1,0
59,32803936.000000000000000,京津塘高速, ,motorway,1,0,0
60,32894846.000000000000000,鞍山西道, ,secondary,1,0,0
61,32894878.000000000000000,鞍山道, ,secondary,1,0,0
62,32982016.000000000000000,西湖道, ,secondary,1,0,0
63,33741190.000000000000000, , ,secondary,1,0,0
64,33742597.000000000000000,珠江道, ,secondary,1,0,0
65,33760546.000000000000000,纬三道,S308,primary,1,0,0
66,33760985.000000000000000,津滨大道, ,trunk,1,1,0
67,33760994.000000000000000,津滨大道, ,trunk,1,0,0
